core,1
kitchen,1
eh,2
there,11
is,19
wonton,1
soupcome,1
to,40
my,15
office,1
hoursbreadsticks,1
in,20
kitcheneveryone,1
please,8
fill,3
out,8
this,8
survey,1
i,31
will,17
bake,2
you,32
cookies,3
if,20
it,9
they,4
are,11
probably,4
looking,1
for,13
numbers,1
and,21
know,7
everyone,2
upset,1
don’t,7
want,12
them,1
think,7
that,13
it’s,7
a,34
vocal,1
minority,1
not,12
every,1
checks,1
discord,1
so,6
remind,1
your,4
friends,2
doesn’t,1
need,2
be,19
fancy,1
just,8
write,1
short,1
response,1
again,1
have,16
an,4
allergy,1
or,4
food,3
restriction,1
find,1
way,2
make,3
httpsdocsgooglecomformsde1faipqlsfrb0jsdwelzawbsprw4zxhvsrpaxg22hv1k4rnwgh4bqviewformi,1
rotisserie,1
chicken,1
finish,1
anyone,4
wants,1
somethere,1
no,3
rules,1
other,1
than,2
the,37
ones,1
before,2
as,5
can,6
play,2
lounges,1
things,5
long,2
masksuno,1
4e,1
room,5
406c,1
come,4
unoi,1
vote,1
sleep,1
bc,2
already,3
1ok,1
choose,1
date,1
we,4
postpone,1
until,2
after,1
winter,1
break,2
try,1
againok,1
due,3
inability,1
time,2
react,2
do,4
water,6
tonight,1
tomorrow,2
👍tonight,1
💧,1
tomorrowyou’re,1
good,2
big,2
dealbring,1
bottle,2
at,8
airportif,1
bring,4
sadi’m,1
cutting,1
off,2
15,1
you’re,3
adventurous,1
eater,1
youhttpsdocsgooglecomformsde1faipqlse8pzfaiqmzzxcft6i3jn7v82idfyqcqw7znznnz3yxpwviewformuspsflinkeveryone,1
sunday,1
fun,1
day,1
28th,1
i’m,8
bringing,1
shit,3
ton,1
of,18
fruit,1
home,1
you’ve,1
never,1
heard,1
subjecting,1
form,1
torture,1
called,1
being,1
friend,1
6pm,1
hosting,1
sit,2
down,2
adventure,1
mouth,1
cooking,1
yummy,1
rsvp,1
below,1
soon,1
venmoing,1
me,10
would,11
highly,1
encouragedeveryone,1
monday,1
29th,1
party,4
location,1
tbd,2
preferably,1
large,1
plastic,1
multiple,1
from,5
wherever,1
over,2
dress,2
formal,4
tasting,1
skillsbullyi,1
am,2
first,4
floor,3
lounge,2
solve,1
problemi,1
french,2
toast,1
people,10
eat,1
toastcan,1
pencilapple,1
8,1
code,2
semi,1
314be,1
thereapple,1
tonight“stop,1
side,1
pad”,1
ajrudei,1
destroy,1
sanctity,1
nocontexti,1
bullylook,1
channelnorah,1
…,1
love,5
lukegay,1
marriage,1
with,6
moon537482538453696515söüpwe’re,1
streaming,1
hang,1
